Electrostatics,Exchange,Induction,SAPT(DFT) Exch-Ind(S^Inf),SAPT(DFT) Exch-Ind(S^2),Delta HF,SAPT0 Exch-Ind(S^Inf),SAPT0 Exch-Ind(S^2),Dispersion,Total SAPT(DFT),Distance
-49.20102477,101.25675395,-49.70427965,51.663093461885104,40.65505887,-20.91983575,44.9894352105354,34.97248113,-15.11938997,-12.76794043,80
-41.63459687,80.08197975,-38.92296461,38.5212947359422,31.65351727,-18.02601765,33.063924088728,26.90825499,-12.7403605,-13.21594222,85
-35.11617634,63.16323213,-30.44096844,28.7857559576613,24.52223885,-15.04886803,24.335327320551002,20.57614122,-10.7891963,-13.18310895,90
-29.59275533,49.70286473,-23.80140621,21.5496600666048,18.91445239,-12.29155523,17.9353858815027,15.65242259,-9.17784131,-12.86913812,95
-24.96322119,39.03432224,-18.62160341,16.160234156508,14.53736814,-9.88329045,13.2357053778144,11.85596869,-7.83700466,-12.38750702,100
-21.10926755,30.60487267,-14.58822992,12.1396338051417,11.14312616,-7.85586159,9.7795978555314,8.94927166,-6.71522633,-11.80785112,105
-17.91396569,23.96226042,-11.45098478,9.1345114824093,8.52402946,-6.19135734,7.2352108070267995,6.73728345,-5.77101095,-11.173701,110
-11.26414031,11.41743262,-5.62969875,3.9258163589385004,3.78691452,-2.93430167,2.9516336966376002,2.84601111,-3.71309544,-9.18950188,125
-5.82345374,3.2678009,-1.85541083,0.9943411888722,0.98265484,-0.80678794,0.6783972833898,0.67068372,-1.84277966,-6.25384333,150
-2.2354471,0.25938979,-0.28504628,0.0699619872393,0.06987759,-0.06249375,0.038476528662,0.03843708,-0.50765625,-2.76875985,200
